time,species,N
1,Annual,58173.61997834125
2,Annual,58173.61997834156
3,Annual,58167.36238020787
4,Annual,58074.14570841323
5,Annual,56774.310223339635
6,Annual,50126.20791899067
7,Annual,45685.80139447861
8,Annual,45004.724080937536
9,Annual,44966.26181814672
10,Annual,44976.75488865821
11,Annual,44983.16867913615
12,Annual,44985.836299933784
13,Annual,44986.87496709156
14,Annual,44987.273636717924
15,Annual,44987.4261620617
16,Annual,44987.48447250749
17,Annual,44987.50676067512
18,Annual,44987.5152795812
19,Annual,44987.51853561265
20,Annual,44987.519780104405
21,Annual,44987.520255762756
22,Annual,44987.52043756458
23,Annual,44987.52050705119
24,Annual,44987.52053360963
25,Annual,44987.520543760606
26,Annual,44987.52054764041
27,Annual,44987.52054912332
28,Annual,44987.52054969016
29,Annual,44987.52054990677
30,Annual,44987.52054998958
31,Annual,44987.52055002118
32,Annual,44987.52055003332
33,Annual,44987.52055003797
34,Annual,44987.52055003966
35,Annual,44987.520550040346
36,Annual,44987.520550040594
37,Annual,44987.520550040754
38,Annual,44987.52055004076
39,Annual,44987.520550040805
40,Annual,44987.52055004084
41,Annual,44987.520550040805
42,Annual,44987.52055004076
43,Annual,44987.52055004076
44,Annual,44987.52055004088
45,Annual,44987.52055004076
46,Annual,44987.52055004084
47,Annual,44987.52055004076
48,Annual,44987.52055004084
49,Annual,44987.52055004088
50,Annual,44987.520550040805
51,Annual,44987.52055004076
52,Annual,44987.520550040805
53,Annual,44987.52055004088
54,Annual,44987.520550040805
55,Annual,44987.52055004076
56,Annual,44987.520550040805
57,Annual,44987.52055004088
58,Annual,44987.520550040805
59,Annual,44987.52055004076
60,Annual,44987.520550040805
61,Annual,44987.52055004088
62,Annual,44987.520550040805
63,Annual,44987.52055004076
64,Annual,44987.520550040805
65,Annual,44987.52055004088
66,Annual,44987.520550040805
67,Annual,44987.52055004076
68,Annual,44987.520550040805
69,Annual,44987.52055004088
70,Annual,44987.520550040805
71,Annual,44987.52055004076
72,Annual,44987.520550040805
73,Annual,44987.52055004088
74,Annual,44987.520550040805
75,Annual,44987.52055004076
76,Annual,44987.520550040805
77,Annual,44987.52055004088
78,Annual,44987.520550040805
79,Annual,44987.52055004076
80,Annual,44987.520550040805
81,Annual,44987.52055004088
82,Annual,44987.520550040805
83,Annual,44987.52055004076
84,Annual,44987.520550040805
85,Annual,44987.52055004088
86,Annual,44987.520550040805
87,Annual,44987.52055004076
88,Annual,44987.520550040805
89,Annual,44987.52055004088
90,Annual,44987.520550040805
91,Annual,44987.52055004076
92,Annual,44987.520550040805
93,Annual,44987.52055004088
94,Annual,44987.520550040805
95,Annual,44987.52055004076
96,Annual,44987.520550040805
97,Annual,44987.52055004088
98,Annual,44987.520550040805
99,Annual,44987.52055004076
100,Annual,44987.520550040805
1,Perennial first-year,10
2,Perennial first-year,0.6613116737299909
3,Perennial first-year,10.644041358153345
4,Perennial first-year,168.37383496766356
5,Perennial first-year,2279.6000360618486
6,Perennial first-year,10580.302318467366
7,Perennial first-year,13976.934865255012
8,Perennial first-year,14338.146277087017
9,Perennial first-year,14344.437034950643
10,Perennial first-year,14334.125481150015
11,Perennial first-year,14329.064329284984
12,Perennial first-year,14327.033011150294
13,Perennial first-year,14326.248185186592
14,Perennial first-year,14325.94746848168
15,Perennial first-year,14325.832463026809
16,Perennial first-year,14325.788500190878
17,Perennial first-year,14325.77169646332
18,Perennial first-year,14325.765273826339
19,Perennial first-year,14325.762819016923
20,Perennial first-year,14325.76188076129
21,Perennial first-year,14325.761522149762
22,Perennial first-year,14325.761385084583
23,Perennial first-year,14325.761332696764
24,Perennial first-year,14325.76131267354
